"id";"title";"year";"synopsis";"director";"producer";"writer";"release_date_id";"box_office";"runtime";"production_co";"sound_mix";"aspect_ratio";"collection";"crew";"rating_id";"genre_id";"language_id"
"1";"10 Cloverfield Lane";"2016";"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.";"Ryan Coogler";"Kevin Feige";"Ryan Coogler, Joe Robert Cole";"1";"700.20";"134";"Walt Disney Pictures";"DTS, Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Ryan Coogler, Ryan Coogler, Joe Robert Cole, Kevin Feige, Louis D'Esposito, Victoria Alonso, Nate Moore, Jeffrey Chernov, Stan Lee, Rachel Morrison";"1";"8";"1"
"2";"12 Angry Men";"1957";"Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.";"Christopher McQuarrie";"Tom Cruise, Christopher McQuarrie, Jake Myers, J.J. Abrams";"Christopher McQuarrie";"2";"858.40";"181";"Marvel Studios, Walt Disney Pictures";"Dolby Atmos, DTS, Dolby Digital, SDDS";"Scope (2.35:1)";"Marvel Cinematic Universe";"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Brie Larson, Paul Rudd, Don Cheadle, Karen Gillan, Anthony Russo, Joe Russo, Christopher Markus, Stephen McFeely, Kevin Feige, Louis D'Esposito, Victoria Alonso, Michael Grillo, Trinh Tran, Jon Favreau";"1";"9";"1"
"3";"12 Years a Slave";"2013";"In the years before the Civil War, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is kidnapped and sold into slavery in the South. Subjected to the cruelty of one malevolent owner (Michael Fassbender), he also finds unexpected kindness from another, as he struggles continually to survive and maintain some of his dignity. Then in the 12th year of the disheartening ordeal, a chance meeting with an abolitionist from Canada changes Solomon's life forever.";"George Miller";"Doug Mitchell, George Miller, P.J. Voeten";"George Miller, Brendan McCarthy, Nick Lathouris";"3";"220.10";"147";"Bad Robot, Tom Cruise";"DTS, Dolby Atmos, Dolby Digital";"Scope (2.35:1)";"";"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson, Sean Harris, Angela Bassett, Michelle Monaghan, Alec Baldwin, Vanessa Kirby, Christopher McQuarrie, Christopher McQuarrie, Tom Cruise, Christopher McQuarrie, Jake Myers, J.J. Abrams, David Ellison, Dana Goldberg, Don Granger, Rob Hardy";"1";"10";"1"
"4";"13TH";"2016";"Filmmaker Ava DuVernay explores the history of racial inequality in the United States, focusing on the fact that the nation's prisons are disproportionately filled with African-Americans.";"Patty Jenkins";"Charles Roven, Deborah Snyder, Zack Snyder, Richard Suckle";"Allan Heinberg";"4";"153.60";"120";"Kennedy Miller Mitchell, Village Roadshow Pictures, Warner Bros. Pictures";"Dolby Atmos";"Scope (2.35:1)";"";"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman, Nathan Jones, Rosie Huntington-Whiteley, Riley Keough, Abbey Lee, George Miller, George Miller, Nick Lathouris, Doug Mitchell, George Miller, P.J. Voeten, Iain Smith, Chris deFaria";"2";"8";"1"
"5";"15 Minutes";"2001";"At the center of ""15 Minutes"" is a New York City double murder that must be solved. But the fast-paced story isn't so much about figuring out the truth of the murder, as following who controls that truth. This is the thriller as seen through an eye-popping new lens -- that of the media's hunt for shocking imagery, no matter the cost. In ""15 Minutes,"" as the cops chase the murderers, the media chases the cops, and the whole thing fuels an escalating firestorm.";"Lee Unkrich";"Darla K. Anderson";"Adrian Molina, Matthew Aldrich";"5";"190.20";"117";"Lord Miller, Sony Pictures Animation, Pascal Pictures, Avi Arad";"Dolby Atmos, DTS, Dolby Digital, SDDS";"Scope (2.35:1)";"";"Shameik Moore, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Luna Lauren Velez, John Mulaney, Kimiko Glenn, Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord, Rodney Rothman, Avi Arad, Amy Pascal, Phil Lord, Christopher Miller, Christina Steinberg";"3";"10";"1"
"6";"1917";"2019";"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.";"Taika Waititi";"Kevin Feige";"Eric Pearson, Craig Kyle, Christopher L. Yost";"6";"412.80";"141";"Atlas Entertainment, Cruel and Unusual";"SDDS, Dolby Atmos, DTS";"Scope (2.35:1)";"DC Extended Universe";"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston, David Thewlis, Ewen Bremner, Lucy Davis, Patty Jenkins, Allan Heinberg, Charles Roven, Deborah Snyder, Zack Snyder, Richard Suckle, Geoff Johns, Jon Berg, Wesley Coller, Rebecca Steel Roven";"1";"8";"1"
"7";"20 Feet From Stardom";"2013";"Filmmaker Morgan Neville shines a long-overdue spotlight on the hit-making contributions of longtime backup singers like Darlene Love and Merry Clayton.";"James Mangold";"Hutch Parker, Simon Kinberg, Lauren Shuler Donner";"James Mangold, Michael Green, Scott Frank";"7";"188.00";"107";"Warner Bros. Pictures, IMAX Corporation";"Dolby Digital, Datasat, Dolby Atmos";"Scope (2.35:1)";"";"Fionn Whitehead, Tom Glynn-Carney, Jack Lowden, Harry Styles, Aneurin Barnard, James D'Arcy, Barry Keoghan, Kenneth Branagh, Cillian Murphy, Mark Rylance, Christopher Nolan, Christopher Nolan, Emma Thomas, Christopher Nolan, Jake Myers, Nathan Crowley, Kevin Ishioka";"1";"11";"1"
"8";"20,000 Days on Earth";"2014";"A therapist's questions and a visit to a voluminous archive propel a dramatization of a day in the life of musician and cultural icon Nick Cave.";"Rian Johnson";"Kathleen Kennedy, Ram Bergman";"Rian Johnson";"8";"210.50";"109";"Pixar Animation Studios";"Dolby Atmos";"Scope (2.35:1)";"Pixar";"Anthony Gonzalez, Benjamin Bratt, Alanna Ubach, Jaime Camil, Alfonso Arau, Selene Luna, Ana Ofelia MurguГ­a, Lee Unkrich, Adrian Molina, Adrian Molina, Matthew Aldrich, Darla K. Anderson, John Lasseter, Lee Unkrich, Michael Giacchino";"3";"12";"1"
"9";"2001: A Space Odyssey";"1968";"An imposing black structure provides a connection between the past and the future in this enigmatic adaptation of a short story by revered sci-fi author Arthur C. Clarke. When Dr. Dave Bowman (Keir Dullea) and other astronauts are sent on a mysterious mission, their ship's computer system, HAL, begins to display increasingly strange behavior, leading up to a tense showdown between man and machine that results in a mind-bending trek through space and time.";"Michael Curtiz, William Keighley";"Hal B. Wallis";"Norman Reilly Raine, Seton I. Miller";"9";"315.00";"130";"Marvel Studios";"Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba, Jeff Goldblum, Tessa Thompson, Mark Ruffalo, Karl Urban, Anthony Hopkins, Benedict Cumberbatch, Taika Waititi, Eric Pearson, Craig Kyle, Christopher L. Yost, Kevin Feige, Thomas M. Hammel, Stan Lee, Victoria Alonso, Louis D'Esposito";"1";"12";"1"
"10";"28 Days Later";"2002";"A group of misguided animal rights activists free a caged chimp infected with the ""Rage"" virus from a medical research lab. When London bike courier Jim (Cillian Murphy) wakes up from a coma a month after, he finds his city all but deserted. On the run from the zombie-like victims of the Rage, Jim stumbles upon a group of survivors, including Selena (Naomie Harris) and cab driver Frank (Brendan Gleeson), and joins them on a perilous journey to what he hopes will be safety.";"Jon Watts";"Kevin Feige, Amy Pascal";"Chris McKenna, Erik Sommers";"10";"226.30";"137";"Marvel Entertainment, 20th Century Fox, Hutch Parker Entertainment, Donners' Company";"Dolby Atmos";"Scope (2.35:1)";"X-Men";"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant, Doris Morgado, Boyd Holbrook, Stephen Merchant, Eriq La Salle, Elise Neal, Elizabeth Rodriguez, James Mangold, James Mangold, Michael Green, Scott Frank, Hutch Parker, Simon Kinberg, Lauren Shuler Donner, Joseph M. Caracciolo Jr., Stan Lee, Josh McLaglen";"2";"8";"1"
"11";"3:10 to Yuma";"2007";"Outlaw Ben Wade (Russell Crowe) terrorizes 1800s Arizona, especially the Southern Railroad, until he is finally captured. Wade must be brought to trial, so Dan Evans (Christian Bale), the owner of a drought-stricken ranch, volunteers to escort him to the train. Along the trail, a grudging respect forms between the men, but danger looms at every turn, and the criminal's men are in pursuit.";"Byron Howard, Rich Moore";"Clark Spencer";"Jared Bush, Phil Johnston";"11";"620.20";"152";"Lucasfilm Ltd.";"DTS, Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Star Wars Saga";"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels, Rian Johnson, Rian Johnson, Kathleen Kennedy, Ram Bergman, J.J. Abrams, Tom Karnowski, Jason McGatlin, Steve Yedlin, Bob Ducsay";"1";"10";"1"
"12";"49 Up";"2005";"Twelve people, documented every seven years since they were each 7 years old, discuss how their lives have changed since their last interview.";"Matt Reeves";"Peter Chernin, Dylan Clark, Rick Jaffa, Amanda Silver";"Matt Reeves, Mark Bomback";"12";"700.20";"134";"Lucasfilm Ltd., Bad Robot";"Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Star Wars Saga";"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Lupita Nyong'o, Andy Serkis, Domhnall Gleeson, J.J. Abrams, Lawrence Kasdan, J.J. Abrams, Michael Arndt, Kathleen Kennedy, J.J. Abrams, Bryan Burk, Tommy Harper, Jason McGatlin, Dan Mindel";"1";"10";"1"
"13";"5 Broken Cameras";"2011";"Beginning in 2005, Palestinian Emad Burnet records his village's resistance to the encroachment of Israeli settlements.";"Jon Watts";"Kevin Feige, Amy Pascal";"Jonathan Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna, Erik Sommers";"13";"858.40";"181";"Warner Brothers, First National Pictures";"Mono";"Flat (1.37:1)";"";"Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric Knowles, Eugene Pallette, Alan Hale, Herbert Mundin, Una O'Connor, Melville Cooper, Michael Curtiz, William Keighley, Norman Reilly Raine, Seton I. Miller, Henry Blanke, Hal B. Wallis, Erich Wolfgang Korngold, Tony Gaudio, Carl Jules Weyl";"3";"10";"1"
"14";"56 Up";"2012";"Continuing a project he began in 1964, filmmaker Michael Apted revisits his original subjects and sees how their lives are progressing now that they are 56 years old.";"Fritz Lang";"Erich Pommer";"Fritz Lang, Thea von Harbou";"14";"220.10";"147";"RKO Radio Pictures Inc.";"";"";"";"Fay Wray, Bruce Cabot, Robert Armstrong, Frank Reicher, Sam Hardy, Noble Johnson, James Flavin, Steve Clemento, Walter Ackerman, Merian C. Cooper, Ernest B. Schoedsack, James Ashmore Creelman, Ruth Rose, David O. Selznick, Merian C. Cooper, Ernest B. Schoedsack";"6";"8";"1"
"15";"8 1/2";"1963";"Troubled Italian filmmaker Guido Anselmi (Marcello Mastroianni) struggles with creative stasis as he attempts to get a new movie off the ground. Overwhelmed by his work and personal life, the director retreats into his thoughts, which often focus on his loves, both past and present, and frequently wander into fantastical territory. As he tries to sort out his many entanglements, romantic and otherwise, Anselmi finds his production becoming more and more autobiographical.";"Steven Spielberg";"David Brown, Richard D. Zanuck";"Howard Sackler, John Milius, Robert Shaw";"15";"153.60";"120";"Columbia Pictures, Pascal Pictures, Marvel Studios";"Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii, Jon Watts, Chris McKenna, Erik Sommers, Kevin Feige, Amy Pascal, Louis D'Esposito, Victoria Alonso, Thomas M. Hammel, Eric Hauserman Carroll, Rachel O'Connor";"1";"10";"1"
"16";"A Band Called Death";"2012";"Filmmakers Mark Covino and Jeff Howlett tell the story of the Hackney brothers and how the discovery of their long-lost demo tape led to their band's newfound popularity.";"David F. Sandberg";"Peter Safran";"Henry Gayden";"16";"190.20";"117";"Walt Disney Pictures, Pixar Animation Studios";"DTS, Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Pixar";"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner, Samuel L. Jackson, Bob Odenkirk, Catherine Keener, Brad Bird, Bill Wise, Isabella Rossellini, Brad Bird, Brad Bird, Nicole Paradis Grindle, John Lasseter, Stephen Schaffer, Michael Giacchino";"3";"12";"1"
